Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2024-03-21 11:42:29.495 +0530,"Failure",0:00:00,1,0,0,"20240321_114229.495/LogFile.txt","","STInvalidNumber -- Value is not a number: 'windowsImages'",0
2024-03-21 11:43:35.393 +0530,"Success",0:00:02,0,0,0,"20240321_114335.393/LogFile.txt","","",1
2024-03-21 12:03:55.777 +0530,"Failure",0:00:03,1,0,0,"20240321_120355.777/LogFile.txt","","STDatabaseError -- Where clause specifies invalid column name 'pathName' (no such column)",0
2024-03-21 12:06:35.900 +0530,"Failure",0:00:00,1,0,0,"20240321_120635.900/LogFile.txt","","STDatabaseError -- Where clause specifies invalid column name 'Name' (no such column)",0
2024-03-21 12:08:42.992 +0530,"Failure",0:00:00,1,0,0,"20240321_120842.992/LogFile.txt","","STDatabaseError -- Where clause specifies invalid column name 'Name' (no such column)",0
2024-03-21 12:20:38.733 +0530,"Failure",0:00:00,1,0,0,"20240321_122038.733/LogFile.txt","","STDatabaseError -- Where clause specifies invalid column name 'Name' (no such column)",0
2024-03-21 12:21:44.253 +0530,"Success",0:00:00,0,0,0,"20240321_122144.253/LogFile.txt","","",1
2024-03-21 12:25:00.870 +0530,"Success",0:00:00,0,0,0,"20240321_122500.870/LogFile.txt","","",1
2024-03-21 12:27:49.249 +0530,"Failure",0:00:00,1,0,0,"20240321_122749.249/LogFile.txt","","Workbook Error -- Worksheet Sheet1 doesn't exist",0
2024-03-21 12:36:44.813 +0530,"Success",0:00:00,0,0,0,"20240321_123644.813/LogFile.txt","","",1
2024-03-21 13:05:25.694 +0530,"Success",0:00:02,0,0,0,"20240321_130525.694/LogFile.txt","","",1
2024-03-21 13:06:34.987 +0530,"Success",0:00:02,0,0,0,"20240321_130634.987/LogFile.txt","","",1
2024-03-21 13:07:41.558 +0530,"Success",0:00:02,0,0,0,"20240321_130741.558/LogFile.txt","","",1
2024-03-21 13:15:35.163 +0530,"Success",0:00:05,0,0,0,"20240321_131535.163/LogFile.txt","","",1
2024-03-21 14:57:38.131 +0530,"Failure",0:00:00,1,0,0,"20240321_145738.131/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'readcsv'",0
2024-03-21 14:58:23.695 +0530,"Failure",0:00:00,1,0,0,"20240321_145823.695/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'readcsv'",0
2024-03-21 15:00:50.640 +0530,"Failure",0:00:00,1,0,0,"20240321_150050.640/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'readcsv'",0
2024-03-21 15:01:04.996 +0530,"Success",0:00:00,0,0,0,"20240321_150104.996/LogFile.txt","","",1
2024-03-21 15:05:28.370 +0530,"Success",0:00:00,0,0,0,"20240321_150528.370/LogFile.txt","","",1
2024-03-21 15:05:43.399 +0530,"Success",0:00:00,0,0,0,"20240321_150543.399/LogFile.txt","","",1
2024-03-21 15:09:09.207 +0530,"Success",0:00:00,0,0,0,"20240321_150909.207/LogFile.txt","","",1
2024-03-21 15:11:54.872 +0530,"Success",0:00:00,0,0,0,"20240321_151154.872/LogFile.txt","","",1
2024-03-21 15:30:47.891 +0530,"Success",0:00:00,0,0,0,"20240321_153047.891/LogFile.txt","","",1
2024-03-21 15:31:39.220 +0530,"Success",0:00:00,0,0,0,"20240321_153139.220/LogFile.txt","","",1
2024-03-21 15:33:02.712 +0530,"Success",0:00:00,0,0,0,"20240321_153302.712/LogFile.txt","","",1
2024-03-21 15:34:39.594 +0530,"Success",0:00:00,0,0,0,"20240321_153439.594/LogFile.txt","","",1
2024-03-21 15:35:40.823 +0530,"Success",0:00:00,0,0,0,"20240321_153540.823/LogFile.txt","","",1
2024-03-21 15:38:32.014 +0530,"Success",0:00:00,0,0,0,"20240321_153832.014/LogFile.txt","","",1
2024-03-21 15:41:44.003 +0530,"Success",0:00:05,0,0,0,"20240321_154144.003/LogFile.txt","","",1
2024-03-21 15:42:13.290 +0530,"Success",0:00:05,0,0,0,"20240321_154213.290/LogFile.txt","","",1
2024-03-21 15:44:45.971 +0530,"Success",0:00:04,0,0,0,"20240321_154445.971/LogFile.txt","","",1
2024-03-21 15:45:06.422 +0530,"Success",0:00:04,0,0,0,"20240321_154506.422/LogFile.txt","","",1
2024-03-21 15:50:33.678 +0530,"Failure",0:00:04,1,0,0,"20240321_155033.678/LogFile.txt","","STInvalidNumber -- Value is not a number: 'windowsImages'",0
2024-03-21 15:52:27.984 +0530,"Failure",0:00:04,1,0,1,"20240321_155227.984/LogFile.txt","","File Not Found -- waitfor Error - Could Not Open Image: (empty)",0
2024-03-21 15:52:48.079 +0530,"Failure",0:00:22,1,0,1,"20240321_155248.079/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""windowsImages/windowsIcon""",0
2024-03-21 15:53:24.302 +0530,"Failure",0:00:04,1,0,1,"20240321_155324.302/LogFile.txt","","File Not Found -- waitfor Error - Could Not Open Image: (empty)",0
2024-03-21 15:54:13.224 +0530,"Aborted",0:00:38,1,0,1,"20240321_155413.224/LogFile.txt","","",0
2024-03-21 15:54:53.210 +0530,"Success",0:00:07,0,0,0,"20240321_155453.210/LogFile.txt","","",1
2024-03-21 15:57:19.784 +0530,"Aborted",0:00:08,1,0,0,"20240321_155719.784/LogFile.txt","","",0
2024-03-21 15:57:39.843 +0530,"Success",0:00:07,0,0,0,"20240321_155739.843/LogFile.txt","","",1
2024-03-21 16:46:20.752 +0530,"Aborted",0:00:24,1,0,1,"20240321_164620.752/LogFile.txt","","",0
2024-03-21 16:46:45.794 +0530,"Success",0:00:08,0,0,0,"20240321_164645.794/LogFile.txt","","",1
