Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2024-03-13 16:45:30.356 +0530,"Failure",0:00:22,1,0,1,"20240313_164530.356/LogFile.txt","","Image Not Found -- doubleclick Error - No Image Found On Screen: ""Icon_Edge_Browser""",0
2024-03-13 17:07:41.735 +0530,"Failure",0:00:22,1,0,1,"20240313_170741.735/LogFile.txt","","Image Not Found -- doubleclick Error - No Image Found On Screen: ""Icon_Edge_Browser""",0
2024-03-13 17:09:05.977 +0530,"Failure",0:00:00,1,0,1,"20240313_170905.977/LogFile.txt","","File Not Found -- doubleclick Error - Could Not Open Image: Icon_Edge",0
2024-03-13 17:09:24.327 +0530,"Failure",0:00:53,1,0,1,"20240313_170924.327/LogFile.txt","","Image Not Found -- doubleclick Error - No Image Found On Screen: ""Icon_Edge_Browser""",0
2024-03-13 17:11:49.289 +0530,"Failure",0:00:00,1,0,0,"20240313_171149.289/LogFile.txt","","STInvalidNumber -- Value is not a number: '￼'",0
2024-03-13 17:12:02.444 +0530,"Failure",0:00:50,1,0,1,"20240313_171202.444/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""Icon_Edge_Browser.png"" within 30.00 seconds",0
2024-03-13 17:16:56.337 +0530,"Failure",0:00:23,1,0,1,"20240313_171656.337/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Icon-Reload-Browser""",0
2024-03-13 17:17:35.792 +0530,"Failure",0:00:23,1,0,1,"20240313_171735.792/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""Icon-Edge"" within 3.00 seconds",0
2024-03-13 17:22:36.940 +0530,"Failure",0:00:23,1,0,1,"20240313_172236.940/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""Icon-Edge"" within 3.00 seconds",0
2024-03-13 17:23:09.405 +0530,"Failure",0:00:23,1,0,1,"20240313_172309.405/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""Icon-Edge"" within 3.00 seconds",0
2024-03-13 17:25:22.842 +0530,"Failure",0:00:23,1,0,1,"20240313_172522.842/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""Icon-Reload-Browser"" within 3.00 seconds",0
2024-03-13 17:25:57.121 +0530,"Failure",0:00:23,1,0,1,"20240313_172557.121/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""Icon-Edge"" within 3.00 seconds",0
2024-03-13 17:26:56.205 +0530,"Failure",0:00:23,1,0,1,"20240313_172656.205/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""Icon-Reload-Browser"" within 3.00 seconds",0
2024-03-13 17:34:23.080 +0530,"Failure",0:00:25,1,0,1,"20240313_173423.080/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""Icon-Reload-Browser"" within 5.00 seconds",0
