Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2024-03-14 13:20:08.987 +0530,"Success",0:00:00,0,0,0,"20240314_132008.987/LogFile.txt","","",1
2024-03-14 13:20:26.776 +0530,"Success",0:00:00,0,0,0,"20240314_132026.776/LogFile.txt","","",1
2024-03-14 13:30:17.032 +0530,"Success",0:00:00,0,0,0,"20240314_133017.032/LogFile.txt","","",1
2024-03-14 13:31:12.734 +0530,"Success",0:00:00,0,0,0,"20240314_133112.734/LogFile.txt","","",1
2024-03-14 13:31:20.475 +0530,"Success",0:00:00,0,0,0,"20240314_133120.475/LogFile.txt","","",1
2024-03-14 14:26:12.540 +0530,"Success",0:00:00,0,0,0,"20240314_142612.540/LogFile.txt","","",1
2024-03-14 15:02:50.557 +0530,"Success",0:00:00,0,0,0,"20240314_150250.557/LogFile.txt","","",1
2024-03-14 15:03:16.639 +0530,"Success",0:00:00,0,0,0,"20240314_150316.639/LogFile.txt","","",1
2024-03-15 12:02:48.195 +0530,"Success",0:00:00,0,0,0,"20240315_120248.195/LogFile.txt","","",1
2024-03-15 12:21:13.013 +0530,"Success",0:00:00,0,0,0,"20240315_122113.013/LogFile.txt","","",1
2024-03-15 12:24:04.105 +0530,"Success",0:00:00,0,0,0,"20240315_122404.105/LogFile.txt","","",1
2024-03-15 12:24:26.354 +0530,"Success",0:00:00,0,0,0,"20240315_122426.354/LogFile.txt","","",1
2024-03-15 12:43:11.129 +0530,"Success",0:00:00,0,0,0,"20240315_124311.129/LogFile.txt","","",1
2024-03-15 12:57:47.964 +0530,"Success",0:00:00,0,0,0,"20240315_125747.964/LogFile.txt","","",1
